period|nome|value
Janeiro/2020|Admissoes|1342262.0
Fevereiro/2020|Admissoes|1443388.0
Março/2020|Admissoes|1316655.0
Abril/2020|Admissoes|598596.0
Maio/2020|Admissoes|703921.0
Junho/2020|Admissoes|895460.0
Julho/2020|Admissoes|1043650.0
Agosto/2020|Admissoes|1239478.0
Setembro/2020|Admissoes|1379509.0
Outubro/2020|Admissoes|1548628.0
Novembro/2020|Admissoes|1532189.0
Dezembro/2020|Admissoes|1239280.0
|Admissoes|
|Admissoes|
Fonte: Novo Caged – SEPRT/ME.|Admissoes|
* A variação mensal do emprego toma como referência o estoque do mês anterior, sem ajustes.|Admissoes|
** Resultados acrescidos dos ajustes; a variação relativa toma como referência os estoques com ajustes do mês atual e do mesmo mês do ano anterior.|Admissoes|
|Admissoes|
Janeiro/2020|Demissoes|1275444.0
Fevereiro/2020|Demissoes|1254519.0
Março/2020|Demissoes|1524056.0
Abril/2020|Demissoes|1459099.0
Maio/2020|Demissoes|1035822.0
Junho/2020|Demissoes|906444.0
Julho/2020|Demissoes|912640.0
Agosto/2020|Demissoes|990090.0
Setembro/2020|Demissoes|1065945.0
Outubro/2020|Demissoes|1153639.0
Novembro/2020|Demissoes|1117633.0
Dezembro/2020|Demissoes|1307186.0
|Demissoes|
|Demissoes|
Fonte: Novo Caged – SEPRT/ME.|Demissoes|
* A variação mensal do emprego toma como referência o estoque do mês anterior, sem ajustes.|Demissoes|
** Resultados acrescidos dos ajustes; a variação relativa toma como referência os estoques com ajustes do mês atual e do mesmo mês do ano anterior.|Demissoes|
|Demissoes|
