data|ICEI
2017-01-01 00:00:00|50.3
2017-02-01 00:00:00|53.3
2017-03-01 00:00:00|54.0
2017-04-01 00:00:00|53.3
2017-05-01 00:00:00|53.7
2017-06-01 00:00:00|51.9
2017-07-01 00:00:00|50.6
2017-08-01 00:00:00|52.8
2017-09-01 00:00:00|55.7
2017-10-01 00:00:00|56.0
2017-11-01 00:00:00|56.6
2017-12-01 00:00:00|58.2
2018-01-01 00:00:00|59.0
2018-02-01 00:00:00|58.9
2018-03-01 00:00:00|59.1
2018-04-01 00:00:00|56.9
2018-05-01 00:00:00|55.5
2018-06-01 00:00:00|49.7
2018-07-01 00:00:00|50.2
2018-08-01 00:00:00|53.3
2018-09-01 00:00:00|52.9
2018-10-01 00:00:00|53.7
2018-11-01 00:00:00|63.4
2018-12-01 00:00:00|63.9
2019-01-01 00:00:00|64.6
2019-02-01 00:00:00|64.6
2019-03-01 00:00:00|62.0
2019-04-01 00:00:00|58.4
2019-05-01 00:00:00|56.5
2019-06-01 00:00:00|56.9
2019-07-01 00:00:00|57.1
2019-08-01 00:00:00|59.4
2019-09-01 00:00:00|59.5
2019-10-01 00:00:00|59.3
2019-11-01 00:00:00|62.5
2019-12-01 00:00:00|64.3
2020-01-01 00:00:00|65.3
2020-02-01 00:00:00|64.7
2020-03-01 00:00:00|60.3
2020-04-01 00:00:00|34.5
2020-05-01 00:00:00|34.7
2020-06-01 00:00:00|41.2
2020-07-01 00:00:00|47.6
2020-08-01 00:00:00|57.0
2020-09-01 00:00:00|61.6
2020-10-01 00:00:00|61.8
2020-11-01 00:00:00|62.9
2020-12-01 00:00:00|63.1
2021-01-01 00:00:00|60.9
